date,home_team,away_team,home_goals,away_goals
2023-08-11,Sporting Clube de Braga,FC Famalicão,1,2
2023-08-12,Gil Vicente FC,Portimonense SC,5,0
2023-08-12,SC Farense,Casa Pia AC,0,3
2023-08-12,Sporting Clube de Portugal,FC Vizela,3,2
2023-08-13,Rio Ave FC,GD Chaves,2,0
2023-08-13,CF Estrela da Amadora,Vitória SC,0,1
2023-08-13,FC Arouca,GD Estoril Praia,4,3
2023-08-14,Moreirense FC,FC Porto,1,2
2023-08-14,Boavista FC,Sport Lisboa e Benfica,3,2
2023-08-18,Casa Pia AC,Sporting Clube de Portugal,1,2
2023-08-19,Vitória SC,Gil Vicente FC,2,1
2023-08-19,GD Chaves,Sporting Clube de Braga,2,4
2023-08-19,Sport Lisboa e Benfica,CF Estrela da Amadora,2,0
2023-08-19,Portimonense SC,Boavista FC,1,4
2023-08-20,GD Estoril Praia,Rio Ave FC,2,0
2023-08-20,FC Porto,SC Farense,2,1
2023-08-20,FC Vizela,FC Arouca,2,2
2023-08-21,FC Famalicão,Moreirense FC,0,0
2023-08-25,CF Estrela da Amadora,GD Estoril Praia,2,1
2023-08-26,FC Arouca,Portimonense SC,1,1
2023-08-26,SC Farense,GD Chaves,5,0
2023-08-26,Gil Vicente FC,Sport Lisboa e Benfica,2,3
2023-08-27,Boavista FC,Casa Pia AC,1,1
2023-08-27,Vitória SC,FC Vizela,2,0
2023-08-27,Sporting Clube de Portugal,FC Famalicão,1,0
2023-08-28,Rio Ave FC,FC Porto,1,2
2023-09-01,FC Vizela,Gil Vicente FC,1,0
2023-09-02,Casa Pia AC,Rio Ave FC,1,1
2023-09-02,FC Famalicão,SC Farense,1,0
2023-09-02,Portimonense SC,CF Estrela da Amadora,1,1
2023-09-02,Sport Lisboa e Benfica,Vitória SC,4,0
2023-09-03,GD Chaves,Moreirense FC,1,2
2023-09-03,GD Estoril Praia,Boavista FC,1,2
2023-09-03,FC Porto,FC Arouca,1,1
2023-09-03,Sporting Clube de Braga,Sporting Clube de Portugal,1,1
2023-09-09,Moreirense FC,Sporting Clube de Braga,2,3
2023-09-15,CF Estrela da Amadora,FC Porto,0,1
2023-09-16,Rio Ave FC,FC Famalicão,1,1
2023-09-16,SC Farense,Sporting Clube de Braga,3,1
2023-09-16,FC Vizela,Sport Lisboa e Benfica,1,2
2023-09-17,FC Arouca,Casa Pia AC,0,1
2023-09-17,Gil Vicente FC,GD Estoril Praia,5,3
2023-09-17,Vitória SC,Portimonense SC,1,2
2023-09-17,Sporting Clube de Portugal,Moreirense FC,3,0
2023-09-18,Boavista FC,GD Chaves,4,1
2023-09-22,FC Famalicão,FC Arouca,1,0
2023-09-23,Moreirense FC,SC Farense,1,0
2023-09-23,GD Estoril Praia,FC Vizela,2,2
2023-09-23,Casa Pia AC,Vitória SC,0,0
2023-09-23,FC Porto,Gil Vicente FC,2,1
2023-09-24,GD Chaves,CF Estrela da Amadora,2,2
2023-09-24,Portimonense SC,Sport Lisboa e Benfica,1,3
2023-09-24,Sporting Clube de Braga,Boavista FC,4,1
2023-09-25,Sporting Clube de Portugal,Rio Ave FC,2,0
2023-09-28,CF Estrela da Amadora,Sporting Clube de Braga,2,4
2023-09-29,Sport Lisboa e Benfica,FC Porto,1,0
2023-09-30,FC Vizela,Portimonense SC,2,3
2023-09-30,Boavista FC,FC Famalicão,2,2
2023-09-30,SC Farense,Sporting Clube de Portugal,2,3
2023-10-01,FC Arouca,GD Chaves,0,2
2023-10-01,Vitória SC,GD Estoril Praia,3,2
2023-10-01,Rio Ave FC,Moreirense FC,0,4
2023-10-02,Gil Vicente FC,Casa Pia AC,2,0
2023-10-06,Moreirense FC,Boavista FC,1,1
2023-10-07,GD Chaves,Gil Vicente FC,4,2
2023-10-07,SC Farense,FC Vizela,0,0
2023-10-07,Sporting Clube de Braga,Rio Ave FC,2,1
2023-10-07,GD Estoril Praia,Sport Lisboa e Benfica,0,1
2023-10-08,Casa Pia AC,CF Estrela da Amadora,0,1
2023-10-08,FC Famalicão,Vitória SC,1,3
2023-10-08,FC Porto,Portimonense SC,1,0
2023-10-08,Sporting Clube de Portugal,FC Arouca,2,1
2023-10-27,FC Arouca,Moreirense FC,0,1
2023-10-28,Portimonense SC,GD Estoril Praia,1,0
2023-10-28,Sport Lisboa e Benfica,Casa Pia AC,1,1
2023-10-28,Vitória SC,GD Chaves,5,0
2023-10-28,Gil Vicente FC,Sporting Clube de Braga,3,3
2023-10-29,Rio Ave FC,SC Farense,3,4
2023-10-29,CF Estrela da Amadora,FC Famalicão,1,0
2023-10-29,FC Vizela,FC Porto,0,2
2023-10-30,Boavista FC,Sporting Clube de Portugal,0,2
2023-11-03,FC Porto,GD Estoril Praia,0,1
2023-11-04,GD Chaves,Sport Lisboa e Benfica,0,2
2023-11-04,FC Famalicão,Gil Vicente FC,3,1
2023-11-04,Sporting Clube de Braga,Portimonense SC,6,1
2023-11-05,Casa Pia AC,FC Vizela,0,1
2023-11-05,Moreirense FC,Vitória SC,1,0
2023-11-05,Rio Ave FC,Boavista FC,2,0
2023-11-05,Sporting Clube de Portugal,CF Estrela da Amadora,3,2
2023-11-06,SC Farense,FC Arouca,2,0
2023-11-10,GD Estoril Praia,Casa Pia AC,4,0
2023-11-11,Portimonense SC,GD Chaves,2,1
2023-11-11,CF Estrela da Amadora,Moreirense FC,0,1
2023-11-11,FC Vizela,FC Famalicão,0,0
2023-11-11,Vitória SC,FC Porto,1,2
2023-11-12,Boavista FC,SC Farense,1,3
2023-11-12,Gil Vicente FC,Rio Ave FC,1,1
2023-11-12,FC Arouca,Sporting Clube de Braga,0,1
2023-11-12,Sport Lisboa e Benfica,Sporting Clube de Portugal,2,1
2023-12-01,GD Chaves,FC Vizela,2,1
2023-12-02,Rio Ave FC,CF Estrela da Amadora,1,1
2023-12-02,SC Farense,Vitória SC,1,2
2023-12-02,FC Famalicão,FC Porto,0,3
2023-12-02,Casa Pia AC,Portimonense SC,1,0
2023-12-03,Sporting Clube de Braga,GD Estoril Praia,3,1
2023-12-03,Moreirense FC,Sport Lisboa e Benfica,0,0
2023-12-03,Boavista FC,FC Arouca,0,4
2023-12-04,Sporting Clube de Portugal,Gil Vicente FC,3,1
2023-12-08,FC Vizela,Sporting Clube de Braga,1,3
2023-12-08,Sport Lisboa e Benfica,SC Farense,1,1
2023-12-09,Portimonense SC,FC Famalicão,1,1
2023-12-09,Vitória SC,Sporting Clube de Portugal,3,2
2023-12-09,FC Porto,Casa Pia AC,3,1
2023-12-10,CF Estrela da Amadora,Boavista FC,3,1
2023-12-10,FC Arouca,Rio Ave FC,2,2
2023-12-10,GD Estoril Praia,GD Chaves,4,0
2023-12-11,Gil Vicente FC,Moreirense FC,1,1
2023-12-15,SC Farense,CF Estrela da Amadora,0,0
2023-12-16,Rio Ave FC,FC Vizela,1,1
2023-12-16,FC Arouca,Gil Vicente FC,3,0
2023-12-16,Boavista FC,Vitória SC,1,1
2023-12-17,Moreirense FC,Portimonense SC,5,2
2023-12-17,GD Chaves,Casa Pia AC,1,3
2023-12-17,FC Famalicão,GD Estoril Praia,1,1
2023-12-17,Sporting Clube de Braga,Sport Lisboa e Benfica,0,1
2023-12-18,Sporting Clube de Portugal,FC Porto,2,0
2023-12-23,FC Vizela,Moreirense FC,0,0
2023-12-23,Vitória SC,Rio Ave FC,1,0
2023-12-28,CF Estrela da Amadora,FC Arouca,1,4
